order_id,date,customer_id,category,product,amount,status
ORD-000001,2024-01-21,3419,Books,Cookbook,266.53,COMPLETED
ORD-000002,2024-03-30,2569,Home & Garden,Sofa,120.98,COMPLETED
ORD-000003,2024-08-10,3636,Home & Garden,Table,397.1,COMPLETED
ORD-000004,2024-11-23,4816,Books,Comic,364.05,COMPLETED
ORD-000005,2024-04-02,2322,Home & Garden,Sofa,40.01,COMPLETED
ORD-000006,2024-01-14,1355,Clothing,T-Shirt,169.45,CANCELLED
ORD-000007,2024-11-19,3006,Home & Garden,Lamp,398.73,COMPLETED
ORD-000008,2024-01-20,1601,Toys,Board Game,389.51,CANCELLED
ORD-000009,2024-07-02,2675,Clothing,Sneakers,325.6,COMPLETED
ORD-000010,2024-09-09,1410,Home & Garden,Lamp,241.22,COMPLETED
ORD-000011,2024-08-16,3594,Books,Cookbook,178.38,COMPLETED
ORD-000012,2024-07-03,2438,Home & Garden,Chair,235.15,CANCELLED
ORD-000013,2024-06-23,4163,Toys,Board Game,70.63,COMPLETED
ORD-000014,2024-05-12,1340,Clothing,Jacket,474.46,COMPLETED
ORD-000015,2024-08-12,3837,Home & Garden,Sofa,278.97,PENDING
ORD-000016,2024-03-16,1064,Toys,Lego Set,197.22,PENDING
ORD-000017,2024-03-11,3471,Home & Garden,Chair,313.11,COMPLETED
ORD-000018,2024-08-16,1922,Clothing,Jacket,310.44,RETURNED
ORD-000019,2024-04-04,4510,Books,Novel,145.58,COMPLETED
ORD-000020,2024-05-26,1478,Toys,Doll,330.95,COMPLETED
ORD-000021,2024-04-12,1966,Electronics,Monitor,149.8,COMPLETED
ORD-000022,2024-06-29,4982,Home & Garden,Sofa,483.8,COMPLETED
ORD-000023,2024-04-19,4656,Home & Garden,Sofa,315.35,PENDING
ORD-000024,2024-06-27,4486,Clothing,Sneakers,304.36,COMPLETED
ORD-000025,2024-08-22,4223,Home & Garden,Table,126.83,COMPLETED
ORD-000026,2024-04-02,2756,Toys,Doll,168.6,COMPLETED
ORD-000027,2024-05-22,2278,Electronics,Monitor,401.53,COMPLETED
